,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/simulations_2/metrics/scaled/hvg/saucie_full,0.050763119381032,0.020138784951271,0.479526899755001,0.939612072127197,0.986902977344092,,0.348003571884169,0.540092691779137,0.666013830126117,2.70E-05,0.431256533461658,0.862191325197511,0.25235070945103,
/simulations_2/metrics/scaled/full_feature/saucie_full,0.045155039144307,0.016865555328264,0.474280968308449,0.929500392521622,0.988459316441964,,0.396803527142463,0.561110157519579,0.362889892738644,8.58E-05,0.42412387629641,0.857596710359923,0.051998910471546,
/pancreas/metrics/unscaled/hvg/saucie_embed,0.690332259525367,0.566355433535039,0.623559169471264,0.713405330080254,0.790357296688969,0.576389556806787,0.054794520547945,0.475069329142571,0.616163739909146,0.002385156756095,0.28561878124318,0.999080609182979,,
/pancreas/metrics/unscaled/full_feature/saucie_embed,0.418554543262074,0.269415343964041,0.457587536424398,0.740703415434443,0.545447833526211,0.734077882305209,0.014388489208633,0.398035645484924,0.354809029740239,0.012605555957117,0.272526229553399,0.945763044039287,,
/lung_atlas/metrics/unscaled/hvg/saucie_embed,0.483084285082074,0.276962887910799,0.486011622473598,0.689708170461249,0.609234801436467,0.432778956378899,0.159104301708898,0.190321087837219,0.135032348961641,0.005083508883359,0.166876961941377,0.935519430877548,,
/lung_atlas/metrics/unscaled/full_feature/saucie_embed,0.436291363396841,0.234840702671309,0.23997962474823,0.754285734415006,0,0.601510135116614,0.4375,0.684116706252098,0.119397855456759,0.005980572666653,0.149178634029709,0.928590255117238,,
/immune_cell_hum/metrics/unscaled/hvg/saucie_embed,0.621350649688328,0.365481048732048,0.547337863594294,0.752806952221096,0.205048969883368,0.569471746865691,0.466403889627022,0.366825983859598,0.628460607381139,0.171184411004091,0.283083257881922,0.983235584705551,,0.47358449825498
/immune_cell_hum/metrics/unscaled/full_feature/saucie_embed,0.627183408052537,0.38067916168504,0.531266313046217,0.743687414464041,0,0.575663478339698,0.437113337778944,0.345947448164225,0.667943609934895,0.121704170283721,0.220172058129261,0.967196935713669,,0.527318540424737
/immune_cell_hum_mou/metrics/unscaled/hvg/saucie_embed,0.429738283640556,0.199788444031941,0.365943968296051,0.738752936529287,0.184593847532883,0.488850393868965,0.16260162601626,0.341658025979996,0.290114921682325,0.054642753141265,0.093454523457696,0.948136056097689,,0.498867584193033
/immune_cell_hum_mou/metrics/unscaled/full_feature/saucie_embed,0.426447901571914,0.230591524056542,0.318429291248322,0.745292385894225,0,0.469209935612615,0.223300970873786,0.329133331775665,0.235241300739913,0.082146867424774,0.087288272130082,0.944487404241713,,0.51517231861899
/simulations_1_1/metrics/unscaled/hvg/saucie_embed,0.908903522625725,0.836057262536556,0.841108590364456,0.810052438198072,0.926676710404661,,0.805479452054795,0.484141340479255,0.986991463865614,0.016846237436661,0.435930040973405,1,,
/simulations_1_1/metrics/unscaled/full_feature/saucie_embed,0.806754386222601,0.783616529809388,0.536277174949646,0.797238149128611,0,,0.528813559322034,0.346731647849083,0.91860023621816,0.184803312941011,0.392900741281114,1,,
/simulations_2/metrics/unscaled/hvg/saucie_embed,0.134605843685991,0.03407949095046,0.38429518789053,0.652243101167571,0,,0.34018540910923,0.389248661696911,0.397722973753484,0.002205786056333,0.158492633657445,0.919848126162249,,
/simulations_2/metrics/unscaled/full_feature/saucie_embed,0.136132866895298,0.077082683614806,0.393583327531815,0.699457289823475,0,,0.358263854830799,0.399749435484409,0.557284136738326,0.005739618435945,0.159568564985903,0.897568663083484,,
/pancreas/metrics/scaled/hvg/saucie_embed,0.66749620089746,0.521578405822437,0.566439755260944,0.720551833652968,0.909609640947858,0.587697970538875,0.024539877300614,0.499659434310161,0.624110937688502,0.000134285636637,0.311008825147208,0.997783746134716,,
/pancreas/metrics/scaled/full_feature/saucie_embed,0.466811378108279,0.274970499683404,0.488922122865915,0.751822748786416,0.774239618970407,0.786106041749951,0.018575851393189,0.491845557466149,0.372663788950462,0.016720205237611,0.301557735530132,0.964870280712201,,
/lung_atlas/metrics/scaled/hvg/saucie_embed,0.42555780296991,0.243316083146809,0.467015884816647,0.785761080236199,0.861260708387626,0.797545463725413,0.226086956521739,0.474992265924811,0.240885448922589,0.039374226785658,0.245509674661801,0.914546112825307,,
/lung_atlas/metrics/scaled/full_feature/saucie_embed,0.379588596068558,0.246860080033298,0.466195296496153,0.795204533919618,0.817228598394928,0.276762725762953,0.22365869424693,0.408472649753094,0.093349030931241,0.001253414046178,0.250808580400387,0.890162630293126,,
/immune_cell_hum/metrics/scaled/hvg/saucie_embed,0.594413735430707,0.431161037537819,0.584449917078018,0.78193958204012,0.947325540083389,0.673599318685584,0.298789973497003,0.49043642624747,0.648394640582299,0.15079611541378,0.305887460249303,0.977539683563679,,0.782362217887741
/immune_cell_hum/metrics/scaled/full_feature/saucie_embed,0.564741816517427,0.347190214744849,0.572044610977173,0.787979938367398,0.943953550410053,0.58602794386076,0.320093635734598,0.499380356865004,0.668906843432046,0.184263733502326,0.2972851579075,0.972093095630417,,0.761954660112172
/immune_cell_hum_mou/metrics/scaled/hvg/saucie_embed,0.32268633044077,0.159966378778913,0.416683435440064,0.790968040104465,0.695872869511259,0.443936627802175,0.053019145802651,0.437151283025742,0.242800878937485,0,0.176387703249791,0.911020393925509,,0.388483615434357
/immune_cell_hum_mou/metrics/scaled/full_feature/saucie_embed,0.306935053565371,0.1465405692014,0.400818347930908,0.810899673364612,0.869890762556978,0.413085892147562,0.061244019138756,0.373194023966789,0.314577410506523,0.178039750635443,0.173227372233176,0.908803073775037,,0.470841044342759
/simulations_1_1/metrics/scaled/hvg/saucie_embed,0.898609294680563,0.819880472714878,0.842894852161408,0.842948288010444,0.937443070237018,,0.632258064516129,0.470202086493373,0.979477923857882,0.03821658436351,0.497990947553827,1,,
/simulations_1_1/metrics/scaled/full_feature/saucie_embed,0.910269876501229,0.832251635534601,0.769081950187683,0.865006316131053,0.934834309952869,,0.274774774774775,0.433911979198456,0.856668132257605,0.076866548198265,0.502903395022449,1,,
